ticker,tipo,preco,rendimento,dy
BBPO11,Tijolo Bancário,141.61,1.06,0.75
RBVA11,Tijolo Bancário,136.31,0.85,0.62
HGRU11,Tijolo Educacional,125.95,0.68,0.54
RECT11,Indefinido,99.98,0.81,0.81
RNGO11,Tijolo Escritórios,78.00,0.52,0.67
FIIB11,Tijolo Galpões,487.13,1.75,0.36
GGRC11,Tijolo Galpões,136.53,0.64,0.47
GRLV11,Tijolo Galpões,129.80,0.80,0.62
HGLG11,Tijolo Galpões,177.00,0.78,0.44
KNRI11,Tijolo Híbrido,160.50,0.65,0.40
LVBI11,Tijolo Galpões,126.31,0.67,0.53
NEWL11,Tijolo Galpões,97.00,0.70,0.72
SDIL11,Tijolo Galpões,107.90,0.44,0.41
VILG11,Tijolo Galpões,120.50,0.60,0.50
VVPR11,Tijolo Escritórios,104.37,0.69,0.66
XPIN11,Tijolo Galpões,118.30,0.60,0.51
HABT11,Papel CRIs,99.99,0.60,0.60
HCTR11,Papel CRIs,120.30,1.03,0.86
ABCP11,Tijolo Shoppings,88.15,0.49,0.56
FVPQ11,Tijolo Shoppings,164.69,0.77,0.47
HGBS11,Tijolo Shoppings,204.20,0.35,0.17
MALL11,Tijolo Shoppings,88.99,0.14,0.16
SCPF11,Tijolo Shoppings,9.55,0.02,0.21
VISC11,Tijolo Shoppings,106.30,0.19,0.18
XPML11,Tijolo Shoppings,103.99,0.27,0.26
NSLU11,Tijolo Hospital,272.00,3.93,1.44
HCRI11,Tijolo Hospital,430.15,2.63,0.61
